CON - 4 | PROD: 4 | PID: 4034 | COUNT: 54 | MSG: 894
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 54 | MSG: 894
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 47 | MSG: 608
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 53 | MSG: 816
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 53 | MSG: 816
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 53 | MSG: 816
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 53 | MSG: 816
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 46 | MSG: 902
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 52 | MSG: 750
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 52 | MSG: 750
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 52 | MSG: 750
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 52 | MSG: 750
CON - 0 | PROD: 0 | PID: 4030 | COUNT: 45 | MSG: 303
CON - 1 | PROD: 2 | PID: 4032 | COUNT: 51 | MSG: 605
CON - 1 | PROD: 3 | PID: 4033 | COUNT: 51 | MSG: 605
CON - 2 | PROD: 4 | PID: 4034 | COUNT: 51 | MSG: 605
CON - 2 | PROD: 1 | PID: 4031 | COUNT: 51 | MSG: 605
CON - 3 | PROD: 0 | PID: 4030 | COUNT: 44 | MSG: 747
CON - 3 | PROD: 2 | PID: 4032 | COUNT: 50 | MSG: 503
CON - 4 | PROD: 3 | PID: 4033 | COUNT: 50 | MSG: 503
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 50 | MSG: 503
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 50 | MSG: 503
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 43 | MSG: 465
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 49 | MSG: 674
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 49 | MSG: 674
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 49 | MSG: 674
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 49 | MSG: 674
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 42 | MSG: 397
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 48 | MSG: 811
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 48 | MSG: 811
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 48 | MSG: 811
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 48 | MSG: 811
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 41 | MSG: 72
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 47 | MSG: 608
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 47 | MSG: 608
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 47 | MSG: 608
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 47 | MSG: 608
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 40 | MSG: 469
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 46 | MSG: 902
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 46 | MSG: 902
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 46 | MSG: 902
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 46 | MSG: 902
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 39 | MSG: 55
CON - 2 | PROD: 2 | PID: 4032 | COUNT: 45 | MSG: 303
CON - 3 | PROD: 3 | PID: 4033 | COUNT: 45 | MSG: 303
CON - 4 | PROD: 4 | PID: 4034 | COUNT: 45 | MSG: 303
CON - 0 | PROD: 1 | PID: 4031 | COUNT: 45 | MSG: 303
CON - 1 | PROD: 0 | PID: 4030 | COUNT: 38 | MSG: 361
